latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,type,horizontalError,depthError,magError,magNst
34.0403333,-117.2325,6.85,1.59,ml,73.0,21.0,0.0772,0.15,earthquake,0.11,0.35,0.14,22.0
64.5267,-149.8667,19.0,1.1,ml,20.0,88.0,0.05971,0.51,EARTHQUAKE,0.48,0.4,0.159,12.5
32.357,-102.046,5.5908,0.6,ml,18.0,70.0,0.0,0.1,earthquake,0.4866008969704178,0.8673401949497036,0.2,11.0
5.4976,126.422,86.628,4.8,mb,43.0,113.0,1.208,0.98,EARTHQUAKE,6.81,7.227,0.105,28.0
34.041,-117.2345,6.37,1.37,ml,76.0,27.0,0.07574,0.17,EARTHQUAKE,0.11,0.41,0.281,25.0
-38.5629,175.6804,150.474,4.1,mb,26.0,58.0,0.474,0.59,earthquake,4.58,5.385,0.184,8.0
54.8366666666667,-163.974666666667,8.61,1.23,ml,4.0,252.0,0.02891,0.19,earthquake,1.13,1.16,0.121724256754417,4.0
35.649,-98.019,22.45,1.61,ml,61.0,44.0,0.16556751,0.35,earthquake,0.48,1.0,0.24,42.0
33.6526667,-117.015,16.18,0.73,ml,9.0,120.0,0.00532,0.09,earthquake,1.37,2.77,0.127,21.0
54.7508333333333,-163.962666666667,-1.89,0.27,ml,5.0,106.0,0.04604,0.21,EARTHQUAKE,0.32,0.54,0.246016867419733,5.0
44.8065,-111.543166666667,13.92,0.13,ml,8.0,104.0,0.01331,0.07,earthquake,0.38,0.84,0.156541778284542,4.0
51.2024,-178.0199,30.0,5.5,mww,147.0,42.0,0.559,1.08,EARTHQUAKE,3.97,1.809,0.046,46.0
46.8646666666667,-112.508166666667,12.35,1.32,ml,13.0,102.0,0.03554,0.08,EARTHQUAKE,0.4,0.55,0.156914233395014,10.0
62.8029,-151.0045,7.7,1.3,ml,20.0,88.0,0.05971,0.29,EARTHQUAKE,0.48,0.3,0.159,12.5
63.5246,-149.0409,4.1,1.7,ml,20.0,88.0,0.05971,0.6,EARTHQUAKE,0.48,0.3,0.159,12.5
33.8806667,-117.7993333,8.6,2.26,ml,96.0,25.0,0.04732,0.19,earthquake,0.14,0.4,0.267,26.0
37.4688,-117.2543,3.2,0.9,ml,20.0,94.3,0.169,0.1871,earthquake,0.48,4.4,0.34,4.0
58.2846666666667,-154.906333333333,4.29,-0.1,ml,6.0,165.0,0.08404,0.19,EARTHQUAKE,0.6,1.42,0.143455324283763,6.0
35.5343333333333,-84.4731666666667,9.78,2.07,md,10.0,77.0,0.09311,0.09,earthquake,0.4,1.41,0.0766039066328372,7.0
-3.813,127.8489,10.0,4.9,mb,29.0,69.0,4.481,0.72,earthquake,7.46,1.923,0.145,15.0
33.6651667,-116.75,11.94,0.56,ml,17.0,65.0,0.05823,0.15,earthquake,0.41,0.78,0.231,15.0
7.2649,126.7545,58.087,7.4,mww,56.0,35.0,1.182,1.18,earthquake,7.59,8.191,0.038,65.0
19.5310001373291,-155.761993408203,8.64999961853027,1.87,ml,34.0,119.0,0.06187,0.310000002,earthquake,0.62,0.469999999,0.62,4.0
53.0276,160.7287,40.434,4.7,mb,62.0,114.0,1.256,0.8,earthquake,8.95,7.034,0.043,161.0
52.8164,161.0671,25.879,4.6,mb,26.0,120.0,1.478,0.94,earthquake,10.65,5.765,0.132,17.0
46.1495,-122.516,8.71,1.53,ml,36.0,98.0,0.1179,0.11,earthquake,0.23,0.34,0.1813469912246486,20.0
32.8153333,-116.1273333,9.06,1.11,ml,29.0,57.0,0.03455,0.18,earthquake,0.23,0.56,0.137,29.0
19.3325,-68.3983,88.0,3.53,md,15.0,207.0,0.791,0.44,EARTHQUAKE,3.49,3.79,0.16,8.0
36.75433333,-98.09416667,3.4,1.11,ml,24.0,155.0,0.06298763968,0.3,EARTHQUAKE,0.48,1.1,0.24,10.0
